,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ACCESS-CM2,1.8809523809523796,1.9929926739926813,1.796875,1.7747179487179565,1.2056394454905401,0.9331149619611239
ACCESS-ESM1-5,2.072344322344321,2.0455677655677604,2.302389705882355,2.180212454212459,1.464989979473522,1.506209935897438
CESM2-WACCM,1.2634432234432182,1.2663860805860807,1.4624814814814968,1.260468864468855,0.8265064988407076,0.9137658660926604
CMCC-CM2-SR5,1.1087908424908406,1.0681831501831525,1.986011111111111,1.3590769230769268,1.2461162267242898,1.0372425135002459
CMCC-ESM2,0.9462062271062379,0.8865124542124576,1.242600000000003,0.885611721611717,0.8168898939392051,1.1308703032362857
CNRM-CM6-1,2.5921421245421286,2.665600000000005,2.822051470588235,2.5172857142857197,2.005340323674602,1.9728109071320858
CNRM-ESM2-1,1.6573051282051239,1.7034102564102511,1.9569007352941128,1.821205128205122,1.6601514336932937,1.7471761301443678
CanESM5,1.8603179487179489,1.7856461538461517,1.374570370370371,1.9071648351648278,1.6584064305069148,1.6140551324644221
EC-Earth3,3.1970812271062243,3.1729087912087977,3.5462953431372526,2.7263836996337076,2.5219504635546883,1.7729401211361662
EC-Earth3-CC,2.7160131868131856,2.7230285714285642,3.0960110294117626,2.734688644688653,2.320957566195375,1.9075618662039702
EC-Earth3-Veg-LR,2.597513186813188,2.665992673992669,2.630544117647055,2.6442893772893825,2.3539519814130685,1.7348477970627485
FGOALS-g3,0.666712253338062,0.556687250384023,0.6766252090800435,0.3575707196029825,0.3031277140145363,0.18061460010110864
GFDL-CM4,2.226373626373629,2.1782417582417537,2.3333333333333357,1.946000000000005,1.73428745714628,1.768070818070811
HadGEM3-GC31-LL,1.9351851851851833,1.9700111111111127,1.912037037037038,2.0727555555555597,1.6428165208651038,0.754245014245015
HadGEM3-GC31-MM,1.3993781481481449,1.4072814814814834,1.2201333333333295,1.396670370370373,1.0157459916107712,0.6881233563218458
INM-CM4-8,1.0681318681318643,1.0271245421245467,1.4666666666666615,1.1630476190476173,0.9177128207660203,0.767663484056925
INM-CM5-0,0.5664835164835154,0.5454945054945028,0.5222222222222257,0.4992051282051264,0.48104333923424036,0.6940371104305498
IPSL-CM6A-LR,2.5272882783882764,2.4310271062271056,2.3673786764705866,1.959567765567769,1.9828473410691032,2.0702315466846173
KACE-1-0-G,1.912037037037038,1.954470370370366,2.1296296296296333,1.8481259259259275,1.4616826668577048,1.1412535612535564
MIROC-ES2L,-0.2136304029304057,-0.35386593406592937,0.2872683823529414,-0.790194139194135,0.10367414351686932,-0.03811046085697711
MIROC6,0.9492300366300341,0.9351798534798519,0.8858272058823573,0.8388131868131836,0.8410379660064109,0.6829671794871786
MPI-ESM1-2-HR,1.6995695970695976,1.7424315018315184,1.3476102941176578,1.3864761904761949,0.7431999091350576,0.8785181872391306
MPI-ESM1-2-LR,0.6169849816849862,0.6279186813186755,0.7063014705882367,0.8605457875457887,0.9717356867809599,1.0451836742744405
MRI-ESM2-0,2.051542857142863,2.0827498168498124,1.8471397058823484,2.059113553113548,1.4754854768484407,1.2875151244394232
NorESM2-LM,2.50062930402931,2.564112820512811,2.582462962962957,2.582897435897422,1.9795853783550896,1.9978522538685723
NorESM2-MM,2.2179300366300225,2.1600505494505597,2.164029629629624,2.2771135531135585,2.79559806240718,1.688395374041761
TaiESM1,-0.1753732600732576,-0.10371978021978379,0.2268629629629615,-0.1182600732600747,-0.02847169237781344,0.20961740115555472
UKESM1-0-LL,2.256018518518516,2.1731333333333396,2.0833333333333357,2.3089259259259336,1.7005675638211315,0.8595227920227941
